run_id,status,high_pain_oversample_factor,high_pain_loss_weight,elapsed_sec,output_dir,log_file,n_targets,mean_auc,mean_accuracy,mean_precision,mean_recall,mean_specificity,mean_fpr,mean_f1,mean_log_loss,mean_brier,n_pain_targets,pain_mean_auc,pain_mean_accuracy,pain_mean_precision,pain_mean_recall,pain_mean_specificity,pain_mean_fpr,pain_mean_f1,pain_mean_log_loss,pain_mean_brier
15,ok,2.5,9.0,13.003452777862549,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_9.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_9.0/train.log,5,0.7566828492147721,0.8373134328358208,0.2564804261021608,0.44369747899159667,0.7805070545122783,0.21949294548772152,0.2820095097376617,0.7909706266820287,0.25922844906286874,2,0.6964318491942338,0.7070895522388059,0.1093646747852355,0.5336134453781513,0.7281707943279219,0.27182920567207797,0.1610938619536661,1.5300556714545666,0.5127789321930035
16,ok,2.5,9.5,13.113201141357422,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_9.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_9.5/train.log,5,0.756500608763194,0.8369402985074628,0.25566591054799237,0.44369747899159667,0.7800362246351208,0.21996377536487918,0.2813400808982242,0.8040089677752634,0.26230965136863704,2,0.6959762480652885,0.7061567164179104,0.10732838589981446,0.5336134453781513,0.7269937196350278,0.27300628036497215,0.15942028985507245,1.5626515241876535,0.5204819379574243
17,ok,2.5,10.0,13.363224506378174,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_10.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_2.5_lw_10.0/train.log,5,0.7563718581279713,0.8376865671641791,0.256271971154053,0.44369747899159667,0.780860966903162,0.21913903309683797,0.2819026028717388,0.8164914662232192,0.2652026548360094,2,0.6956543714772316,0.7080223880597015,0.10884353741496595,0.5336134453781513,0.7290555753051309,0.270944424694869,0.1608265947888589,1.5938577703075432,0.5277144466258552
18,ok,3.0,2.0,12.445568084716797,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_2.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_2.0/train.log,5,0.7594257698218111,0.9190298507462685,0.3210678895214,0.2980392156862745,0.8720360666385177,0.1279639333614822,0.29797600536023566,0.4941510338480337,0.168152958423132,2,0.7032891507118311,0.9113805970149254,0.2708333333333333,0.1694677871148459,0.9569933246435203,0.0430066753564798,0.201010101010101,0.7880066893695792,0.2850902055936617
19,ok,3.0,2.5,12.93564748764038,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_2.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_2.5/train.log,5,0.7591894188529368,0.8701492537313433,0.2632530032582378,0.4019607843137255,0.8185162973135582,0.18148370268644173,0.28086887373899194,0.532703271092691,0.1826265647547932,2,0.7026982732896453,0.789179104477612,0.126296117675428,0.4292717086834734,0.8231939013311215,0.1768060986688786,0.1582422719569917,0.8843872824812224,0.3212742214228147
20,ok,3.0,3.0,12.335331678390503,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_3.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_3.0/train.log,5,0.7588423540879384,0.8731343283582088,0.2685478674280556,0.4019607843137255,0.8217860370141545,0.1782139629858453,0.2837861429350791,0.5664748410501866,0.1946574769790193,2,0.7018306113771495,0.7966417910447761,0.13953327809997235,0.4292717086834734,0.8313682505826124,0.1686317494173875,0.1655354449472096,0.9688162073749615,0.35135150198338
21,ok,3.0,3.5,12.487310409545898,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_3.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_3.5/train.log,5,0.7583596977003448,0.8723880597014924,0.2653219687754792,0.39803921568627454,0.8214028952517024,0.17859710474829743,0.28010586165796736,0.5965709276044558,0.20486268461113838,2,0.7006239704081656,0.794776119402985,0.13146853146853146,0.41946778711484595,0.8304103961764822,0.1695896038235178,0.15633474175443018,1.0440564237606345,0.3768645210636776
22,ok,3.0,4.0,12.267776727676392,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_4.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_4.0/train.log,5,0.7579236901417342,0.8723880597014924,0.26462629880060456,0.39803921568627454,0.8213736658801339,0.17862633411986592,0.2798645743076281,0.6237449885604552,0.21366573628040192,2,0.6995339515116391,0.794776119402985,0.1297293565313449,0.41946778711484595,0.8303373227475609,0.16966267725243905,0.15573152337858215,1.111991576150633,0.3988721502368366
23,ok,3.0,4.5,12.431043148040771,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_4.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_4.5/train.log,5,0.7576382009016017,0.8720149253731343,0.2652345561880666,0.39803921568627454,0.8210197534892505,0.17898024651074954,0.27996073547881706,0.648533374808121,0.22136568116602282,2,0.6988202284113076,0.7938432835820896,0.13125,0.41946778711484595,0.829452541770352,0.17054745822964804,0.15597192630655465,1.1739625417697974,0.41812201245088887
24,ok,3.0,5.0,12.132050514221191,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_5.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_5.0/train.log,5,0.7574006052115897,0.8697761194029849,0.26210036034839124,0.39803921568627454,0.8186039854282636,0.1813960145717362,0.27816720305143333,0.6713306500485727,0.22817945648236654,2,0.6982262391862777,0.7882462686567164,0.1234145104008117,0.41946778711484595,0.8234131216178853,0.17658687838211473,0.15148809523809514,1.2309557298709266,0.4351564507417481
25,ok,3.0,5.5,12.189878463745117,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_5.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_5.5/train.log,5,0.7572631481669162,0.8708955223880597,0.2642790095858641,0.39803921568627454,0.8198410988303255,0.18015890116967437,0.27928765123070504,0.6924398986111877,0.2342698868802502,2,0.6978825965745938,0.7910447761194029,0.12886113349449363,0.41946778711484595,0.8265059051230399,0.17349409487696013,0.15428921568627446,1.283728851277464,0.45038252673645723
26,ok,3.0,6.0,12.295328855514526,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_6.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_6.0/train.log,5,0.7570292833210608,0.8686567164179104,0.260693739861536,0.39803921568627454,0.8173961013977703,0.18260389860222953,0.27731539097349367,0.71210612731229,0.23976294339807497,2,0.6972979344599552,0.7854477611940298,0.1198979591836734,0.41946778711484595,0.8203934115416518,0.1796065884583481,0.14935856504324602,1.3328944230302198,0.46411516803101927
27,ok,3.0,6.5,12.60568380355835,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_6.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_6.5/train.log,5,0.762822441205141,0.9171641791044776,0.35133104741613674,0.3162464985994398,0.8691202393288048,0.13087976067119506,0.318312705696936,0.6957779699473454,0.23952660817011145,2,0.711780829170156,0.9067164179104478,0.3464912280701754,0.21498599439775906,0.9497037563692381,0.0502962436307619,0.2518518518518518,1.2920740296178583,0.4635243299611104
28,ok,3.0,7.0,12.91103458404541,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_7.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_7.0/train.log,5,0.7608146794560523,0.916044776119403,0.3210678895214,0.30840336134453783,0.8687663269379213,0.13123367306207864,0.30640313378736406,0.7197368458812902,0.24695970764166172,2,0.7067614247974341,0.9039179104477612,0.2708333333333333,0.19537815126050415,0.9488189753920291,0.051181024607970846,0.22207792207792204,1.3519712194527203,0.4821070786399861
29,ok,3.0,7.5,12.69593334197998,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_7.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_7.5/train.log,5,0.7606772224113787,0.901865671641791,0.3320771604864231,0.3476190476190476,0.848943283133363,0.15105671686663685,0.32105628551368653,0.7312481690638387,0.249981081633395,2,0.7064177821857502,0.8684701492537314,0.29835651074589126,0.29341736694677867,0.8992613658806337,0.1007386341193664,0.2587108013937282,1.3807495274090917,0.48966051361931917
30,ok,3.0,8.0,13.150269746780396,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_8.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_8.0/train.log,5,0.7606915284063208,0.901865671641791,0.321663127616638,0.3476190476190476,0.8489725125049314,0.15102748749506836,0.3187431863728154,0.7420201999829824,0.25272748626348496,2,0.7064535471731055,0.8684701492537312,0.27232142857142855,0.29341736694677867,0.8993344393095548,0.1006655606904451,0.2529280535415504,1.4076796047069509,0.4965265251945441
31,ok,3.0,8.5,13.898409605026245,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_8.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_8.5/train.log,5,0.7595545536495975,0.910820895522388,0.3078696913232017,0.32408963585434175,0.8614021052686871,0.13859789473131276,0.30917196495619526,0.7512651012812709,0.25499814343857663,2,0.703611110281297,0.8908582089552239,0.2378378378378378,0.23459383753501395,0.9304084212189438,0.06959157878105615,0.22899999999999998,1.4307918579526722,0.5022031681322733
32,ok,3.0,9.0,13.401904106140137,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_9.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_9.0/train.log,5,0.7594960882679477,0.9111940298507463,0.3343462777997882,0.3280112044817927,0.8613144171539817,0.1386855828460183,0.31812567481223064,0.7608412968613161,0.25730626376560384,2,0.7034649468271726,0.8917910447761195,0.304029304029304,0.2443977591036414,0.93018920093218,0.06981079906782,0.25138427464008856,1.454732346902785,0.5079734689498413
33,ok,3.0,9.5,12.299391984939575,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_9.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_9.5/train.log,5,0.7594991984111636,0.901865671641791,0.321663127616638,0.3476190476190476,0.8489725125049314,0.15102748749506836,0.3187431863728154,0.7699052640667639,0.2594352039005377,2,0.7034727221852125,0.8684701492537312,0.27232142857142855,0.29341736694677867,0.8993344393095548,0.1006655606904451,0.2529280535415504,1.4773922649164044,0.5132958192871759
34,ok,3.0,10.0,12.526015758514404,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_10.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.0_lw_10.0/train.log,5,0.7563824399172696,0.9041044776119402,0.3454268638803743,0.3397759103641457,0.8522130228339595,0.14778697716604045,0.32144293269813073,0.7894481460189897,0.2646592211172829,2,0.6956808259504774,0.8740671641791045,0.3317307692307692,0.2738095238095237,0.9074357151321246,0.0925642848678753,0.2596774193548387,1.5262494697969693,0.526355862329039
35,ok,3.5,2.0,11.509271621704102,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.5_lw_2.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.5_lw_2.0/train.log,5,0.7595377283390727,0.9171641791044776,0.32977159322510363,0.2980392156862745,0.8699449815968461,0.13005501840315384,0.29777246620932807,0.5081586187425419,0.1736633038257386,2,0.7035690470049852,0.9067164179104478,0.29259259259259257,0.1694677871148459,0.9517656120393412,0.0482343879606588,0.200501253132832,0.8230256516058496,0.2988660691001782
36,ok,3.5,2.5,13.27442479133606,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.5_lw_2.5,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.5_lw_2.5/train.log,5,0.7595713158942512,0.9175373134328357,0.3261960946496051,0.3123249299719888,0.8700034403399831,0.1299965596600168,0.31095237095796047,0.5479027455853762,0.18827912258762095,2,0.7036530158929315,0.9076492537313432,0.28365384615384615,0.2051820728291316,0.9519117588971836,0.048088241102816245,0.23345101500441306,0.9223859687129353,0.33540561600488406
37,ok,3.5,3.0,12.471842050552368,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.5_lw_3.0,/home/maolab-data/disk1/jlli/pain_prediction/baseline/tuning_records/logreg_high_pain_grid/runs/os_3.5_lw_3.0/train.log,5,0.7597050387755118,0.9007462686567165,0.2745527380062484,0.3630252100840336,0.8506709759879666,0.14932902401203324,0.2955978168950906,0.5812143964285885,0.19980625742186806,2,0.7039873230960829,0.8656716417910448,0.1545454545454545,0.33193277310924363,0.9035805980171425,0.0964194019828573,0.1950646298472385,1.0056650958209663,0.36422345309050186
