variable_1,variable_2,n_pairwise,pearson_r,pearson_p,spearman_r,spearman_p,abs_spearman_r,relationship
术后第二天_静息痛,术后第三天_恶心呕吐,2511,0.07444270043261096,0.00018873328112853558,0.08496729647729162,2.014368933862342e-05,0.08496729647729162,cross_day_mixed_outcome
术后第一天_镇静评分,术后第三天_活动状态,2512,0.06817900783888345,0.0006275928277590737,0.08262452138360565,3.3809962656748845e-05,0.08262452138360565,cross_day_mixed_outcome
手术当天_活动痛,术后第一天_活动状态,2671,0.07760021972799001,5.952393766824364e-05,0.08024960690212098,3.2930286028754235e-05,0.08024960690212098,cross_day_mixed_outcome
手术当天_静息痛,术后第一天_活动状态,2671,0.08193438838807546,2.2386107092204417e-05,0.07987613135784075,3.583581940143745e-05,0.07987613135784075,cross_day_mixed_outcome
术后第一天_镇静评分,术后第二天_静息痛,2662,0.06714504582113325,0.0005270749885879155,0.07865346111669078,4.8554033374422295e-05,0.07865346111669078,cross_day_mixed_outcome
术后第二天_活动痛,术后第三天_活动状态,2514,0.05007117222569785,0.012042885599056443,0.07236361073562027,0.0002820473843695163,0.07236361073562027,cross_day_mixed_outcome
术后第三天_静息痛,术后第三天_活动状态,2516,0.07026336545089293,0.0004202957026506228,0.0713525046749643,0.0003412209613661127,0.0713525046749643,within_day
术后第二天_静息痛,术后第三天_活动状态,2513,0.06745607329517224,0.0007150732702905441,0.0701749151879242,0.000430820160132113,0.0701749151879242,cross_day_mixed_outcome
手术当天_活动状态,术后第三天_镇静评分,2504,0.07485906902726029,0.00017730219714769116,0.06950549706610297,0.0005004283609435835,0.06950549706610297,cross_day_mixed_outcome
术后第一天_活动痛,术后第二天_活动状态,2663,0.0602004084787956,0.0018838474406747423,0.06701862295006762,0.0005387446180757934,0.06701862295006762,cross_day_mixed_outcome
术后第二天_活动状态,术后第三天_镇静评分,2515,0.11652498531571082,4.60722123442475e-09,0.06678941990622246,0.0008035995486059642,0.06678941990622246,cross_day_mixed_outcome
术后第一天_镇静评分,术后第三天_活动痛,2513,0.07354366733419074,0.00022434679598716203,0.06592516048925441,0.0009437816588368354,0.06592516048925441,cross_day_mixed_outcome
术后第一天_静息痛,术后第二天_活动状态,2663,0.05838192641747905,0.0025790204068547183,0.06563766743587435,0.0007008449245380442,0.06563766743587435,cross_day_mixed_outcome
术后第一天_镇静评分,术后第一天_恶心呕吐,2678,0.1085279130412094,1.799292807396832e-08,0.06502635160208103,0.0007597216009666086,0.06502635160208103,within_day
术后第一天_镇静评分,术后第三天_静息痛,2513,0.0843629682726851,2.2901220075246177e-05,0.06461899351802507,0.0011906303827834243,0.06461899351802507,cross_day_mixed_outcome
手术当天_静息痛,手术当天_恶心呕吐,2671,0.07164037298160279,0.000210952270241855,0.06380803165309769,0.000968476804358257,0.06380803165309769,within_day
手术当天_静息痛,手术当天_镇静评分,2670,0.006316263413167274,0.7442543873770998,0.06342150711362736,0.0010421794962371187,0.06342150711362736,within_day
手术当天_恶心呕吐,术后第一天_静息痛,2671,0.06381445824691842,0.0009673284165536357,0.06233323914502532,0.0012680445309596919,0.06233323914502532,cross_day_mixed_outcome
术后第一天_镇静评分,术后第二天_活动痛,2663,0.03659294065150503,0.05901286238102044,0.06095464595100329,0.0016497235261199845,0.06095464595100329,cross_day_mixed_outcome
术后第二天_活动痛,术后第三天_恶心呕吐,2512,0.0537962869837106,0.006999393681600281,0.06094687279653137,0.002243343188661068,0.06094687279653137,cross_day_mixed_outcome
手术当天_活动痛,手术当天_恶心呕吐,2671,0.0781960456594792,5.218707420039775e-05,0.06054224067296215,0.0017460764169238536,0.06054224067296215,within_day
术后第一天_恶心呕吐,术后第二天_静息痛,2663,0.06001843387614939,0.0019447253363970515,0.05885791200446045,0.0023773741653242576,0.05885791200446045,cross_day_mixed_outcome
术后第二天_恶心呕吐,术后第三天_静息痛,2516,0.045966871249308275,0.021124072131221347,0.058159169901885625,0.003519797523539487,0.058159169901885625,cross_day_mixed_outcome
术后第一天_活动痛,术后第一天_恶心呕吐,2678,0.060266578694218205,0.0018076557079592722,0.056772632833712436,0.0032932800988721873,0.056772632833712436,within_day
手术当天_恶心呕吐,术后第二天_静息痛,2655,0.04404033521120162,0.023250989093107178,0.056155121080585645,0.003798729561395906,0.056155121080585645,cross_day_mixed_outcome
术后第三天_活动痛,术后第三天_恶心呕吐,2515,0.0660072789695531,0.0009255968082926802,0.05408304186245105,0.006669932069628483,0.05408304186245105,within_day
手术当天_镇静评分,术后第一天_恶心呕吐,2672,0.015907914086024596,0.41109427746111593,0.053050662711769274,0.006089718956088706,0.053050662711769274,cross_day_mixed_outcome
术后第二天_静息痛,术后第二天_恶心呕吐,2664,0.044884691155998704,0.020516994902160874,0.05226147286304055,0.006975766309719119,0.05226147286304055,within_day
术后第一天_恶心呕吐,术后第三天_静息痛,2514,0.04580112224164739,0.021646031229316468,0.05210207987428316,0.008978713201618225,0.05210207987428316,cross_day_mixed_outcome
手术当天_静息痛,手术当天_活动状态,2670,0.0611266229542254,0.0015776178899502362,0.05160408444251942,0.007652784126487298,0.05160408444251942,within_day
术后第一天_活动状态,术后第三天_镇静评分,2511,0.055408964802002164,0.005481463761971835,0.05145763082990624,0.009909816605079402,0.05145763082990624,cross_day_mixed_outcome
术后第三天_镇静评分,术后第三天_恶心呕吐,2516,-0.004224078210160655,0.8322830881137466,0.04998280877672245,0.012160704800766,0.04998280877672245,within_day
术后第一天_活动状态,术后第二天_镇静评分,2663,0.03502806640146975,0.07071497157068694,0.04915356299767797,0.01118465738110858,0.04915356299767797,cross_day_mixed_outcome
手术当天_恶心呕吐,术后第三天_静息痛,2506,0.04662589375838422,0.019585486683725013,0.04904353431762164,0.01407395662337173,0.04904353431762164,cross_day_mixed_outcome
术后第一天_活动状态,术后第二天_恶心呕吐,2663,-0.05513124711239776,0.004429498580690876,-0.04896519634095787,0.011499485628300632,0.04896519634095787,cross_day_mixed_outcome
手术当天_静息痛,术后第二天_活动状态,2657,0.046926782264279154,0.0155595238733461,0.047782032634469625,0.013769339815323302,0.047782032634469625,cross_day_mixed_outcome
术后第一天_活动痛,术后第三天_活动状态,2512,0.04245640301122817,0.033352913698590225,0.04606524642470851,0.020951348653026124,0.04606524642470851,cross_day_mixed_outcome
手术当天_静息痛,术后第一天_恶心呕吐,2672,0.036822662919019186,0.0570184353613664,0.045431511990058106,0.01884758689050876,0.045431511990058106,cross_day_mixed_outcome
手术当天_镇静评分,手术当天_恶心呕吐,2671,0.005524113597053039,0.7753651152932277,0.043307994651723754,0.025205800313631063,0.043307994651723754,within_day
术后第二天_镇静评分,术后第三天_活动状态,2515,0.046743465890423955,0.019063323772173266,0.042995325081984226,0.031073436275036448,0.042995325081984226,cross_day_mixed_outcome
手术当天_活动痛,术后第三天_镇静评分,2506,-0.059525209410717914,0.0028732139150090064,-0.04269366575923305,0.03258567227220502,0.04269366575923305,cross_day_mixed_outcome
术后第一天_恶心呕吐,术后第二天_镇静评分,2665,0.04275530381442447,0.027303016703831753,0.04056033500253372,0.03628214114824618,0.04056033500253372,cross_day_mixed_outcome
手术当天_恶心呕吐,术后第二天_活动痛,2656,0.04523414835944131,0.01973750198535022,0.03997742550160028,0.039384578194306664,0.03997742550160028,cross_day_mixed_outcome
术后第一天_恶心呕吐,术后第二天_活动痛,2664,0.045166782094829716,0.01973587302064362,0.039455926922655093,0.041718890551778076,0.039455926922655093,cross_day_mixed_outcome
手术当天_活动痛,术后第二天_活动状态,2657,0.03915757086036724,0.0435658410254827,0.03924090155046874,0.04312034309099469,0.03924090155046874,cross_day_mixed_outcome
手术当天_活动痛,术后第一天_镇静评分,2671,-0.05719042114531325,0.0031091443395367597,-0.03907121235887798,0.043477541524897426,0.03907121235887798,cross_day_mixed_outcome
手术当天_恶心呕吐,术后第二天_镇静评分,2657,0.034836468242176406,0.07259255897069736,0.03757002469070412,0.05282357369956926,0.03757002469070412,cross_day_mixed_outcome
手术当天_镇静评分,术后第二天_恶心呕吐,2658,0.013188653939725915,0.49671897036331886,0.03682420671284879,0.05766288999923529,0.03682420671284879,cross_day_mixed_outcome
术后第一天_恶心呕吐,术后第三天_活动痛,2514,0.04446369795798289,0.02578763855496805,0.036410457079607494,0.06795418840192928,0.036410457079607494,cross_day_mixed_outcome
手术当天_活动痛,术后第二天_镇静评分,2657,-0.05876553063761774,0.002442888972451436,-0.03626239618403466,0.06163394027154061,0.03626239618403466,cross_day_mixed_outcome
术后第二天_活动痛,术后第二天_恶心呕吐,2665,0.05055739036546755,0.009043605180635853,0.03496258174364484,0.07113720435246274,0.03496258174364484,within_day
